time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
1.37,99.4273,7,0.544833,0.793646,0.0778333,0.26454,0.0259423,0.264561,0.0259528,0.264545,0.0259382
1.3837,100.422,7,0.54517,0.794158,0.0778814,0.264713,0.0259572,0.264706,0.025962,0.264739,0.0259623
1.3974,101.416,7,0.545323,0.794616,0.0779032,0.26487,0.0259659,0.264871,0.0259702,0.264875,0.0259671
1.4111,102.41,7,0.545455,0.795077,0.0779221,0.265025,0.0259717,0.265035,0.025982,0.265017,0.0259683
1.4248,103.404,7,0.545675,0.795591,0.0779536,0.265201,0.0259839,0.265191,0.025986,0.2652,0.0259838
1.4385,104.399,7,0.545713,0.796041,0.077959,0.265349,0.0259842,0.265348,0.02599,0.265345,0.0259848
1.4522,105.393,7,0.545785,0.796493,0.0779693,0.26549,0.0259849,0.265527,0.026004,0.265476,0.0259804
1.4659,106.387,7,0.545679,0.796873,0.0779542,0.265638,0.0259848,0.26559,0.0259808,0.265644,0.0259886
1.4796,107.381,7,0.545617,0.797297,0.0779453,0.265763,0.025979,0.265778,0.0259869,0.265755,0.0259793
1.4933,108.376,7,0.545348,0.797612,0.0779068,0.265866,0.0259654,0.265893,0.0259816,0.265853,0.0259597
1.507,109.37,7,0.545023,0.797905,0.0778604,0.265979,0.0259541,0.265951,0.0259537,0.265975,0.0259526
1.5207,110.364,7,0.544502,0.798147,0.077786,0.266056,0.0259286,0.266051,0.025935,0.26604,0.0259224
1.5344,111.359,7,0.543732,0.798283,0.0776759,0.266095,0.0258915,0.266102,0.0258983,0.266087,0.0258862
1.5481,112.353,7,0.542937,0.798382,0.0775624,0.266122,0.0258498,0.266133,0.0258604,0.266127,0.0258522
1.5618,113.347,7,0.541858,0.798361,0.0774082,0.26614,0.0258034,0.266118,0.025806,0.266104,0.0257989
1.5755,114.341,7,0.540799,0.798323,0.077257,0.266126,0.0257549,0.266107,0.025754,0.26609,0.0257481
1.5892,115.336,7,0.539602,0.798198,0.077086,0.266075,0.0256963,0.26608,0.0257018,0.266043,0.0256879
1.6029,116.33,7,0.538177,0.797965,0.0768824,0.266007,0.0256284,0.266005,0.0256343,0.265953,0.0256197
1.6166,117.324,7,0.536825,0.797705,0.0766892,0.265915,0.0255605,0.26591,0.0255716,0.26588,0.0255571
1.6303,118.318,7,0.535295,0.797333,0.0764708,0.265795,0.0254915,0.265784,0.025498,0.265755,0.0254812
1.644,119.313,7,0.533775,0.796891,0.0762535,0.265653,0.0254231,0.265625,0.0254229,0.265613,0.0254076
1.6577,120.307,7,0.531873,0.796289,0.0759818,0.265444,0.0253312,0.265425,0.0253318,0.26542,0.0253188
1.6714,121.301,7,0.530107,0.795707,0.0757296,0.265279,0.0252511,0.265226,0.0252489,0.265202,0.0252297
1.6851,122.296,7,0.528527,0.79509,0.0755038,0.26507,0.0251759,0.26505,0.0251808,0.264971,0.0251471
1.6988,123.29,7,0.526828,0.794369,0.0752612,0.264811,0.0250907,0.264798,0.0250958,0.264759,0.0250747
1.7125,124.284,7,0.525173,0.793595,0.0750247,0.264561,0.0250129,0.264526,0.025014,0.264508,0.0249978
1.7262,125.278,7,0.523741,0.792893,0.0748201,0.264332,0.0249487,0.264292,0.0249418,0.264269,0.0249295
1.7399,126.273,7,0.522465,0.792192,0.0746379,0.264095,0.0248904,0.264074,0.0248849,0.264023,0.0248626
1.7536,127.267,7,0.521167,0.791469,0.0744524,0.263842,0.0248222,0.26383,0.0248267,0.263797,0.0248036
1.7673,128.261,7,0.520086,0.790784,0.0742981,0.263631,0.0247759,0.263578,0.0247678,0.263574,0.0247543
1.781,129.255,7,0.519003,0.790065,0.0741433,0.263401,0.0247276,0.263337,0.0247134,0.263327,0.0247023
1.7947,130.25,7,0.518209,0.789446,0.0740298,0.263176,0.0246854,0.263148,0.0246832,0.263123,0.0246611
1.8084,131.244,7,0.517381,0.788794,0.0739115,0.262959,0.0246446,0.262928,0.0246434,0.262908,0.0246236
1.8221,132.238,7,0.516612,0.788159,0.0738017,0.262772,0.0246149,0.262692,0.0246008,0.262695,0.0245859
1.8358,133.233,7,0.516014,0.787601,0.0737163,0.26257,0.0245844,0.262518,0.0245748,0.262514,0.024557
1.8495,134.227,7,0.515468,0.787076,0.0736383,0.262388,0.0245539,0.26234,0.0245513,0.262347,0.0245332
1.8632,135.221,7,0.51502,0.786556,0.0735743,0.262241,0.0245428,0.262144,0.0245206,0.262172,0.024511
1.8769,136.215,7,0.514504,0.786032,0.0735006,0.262022,0.024506,0.262005,0.0245063,0.262004,0.0244883
1.8906,137.21,7,0.514304,0.785655,0.0734719,0.261932,0.0245074,0.261859,0.0244912,0.261864,0.0244734
1.9043,138.204,7,0.513881,0.785166,0.0734115,0.261766,0.0244857,0.26169,0.0244674,0.26171,0.0244584
1.918,139.198,7,0.513603,0.784768,0.0733718,0.261608,0.0244657,0.26157,0.0244597,0.26159,0.0244464
1.9317,140.192,7,0.513401,0.784409,0.0733431,0.261505,0.0244622,0.261439,0.0244448,0.261465,0.0244361
1.9454,141.187,7,0.513201,0.784066,0.0733145,0.261394,0.0244534,0.26133,0.0244354,0.261342,0.0244257
1.9591,142.181,7,0.513068,0.783738,0.0732954,0.261275,0.024444,0.261233,0.0244334,0.26123,0.024418
1.9728,143.175,7,0.51285,0.783414,0.0732643,0.261161,0.0244309,0.261107,0.0244211,0.261146,0.0244122
1.9865,144.17,7,0.512777,0.783152,0.0732539,0.261085,0.0244296,0.261012,0.0244152,0.261055,0.0244091
2.0002,145.164,7,0.512668,0.782883,0.0732383,0.261002,0.0244246,0.260925,0.0244107,0.260957,0.0244031
2.0139,146.158,7,0.51258,0.782634,0.0732258,0.260922,0.0244226,0.260834,0.0244056,0.260878,0.0243976
2.0276,147.152,7,0.512598,0.782446,0.0732283,0.260854,0.0244242,0.260785,0.0244084,0.260807,0.0243956
2.0413,148.147,7,0.512596,0.782251,0.073228,0.260788,0.0244251,0.260711,0.0244025,0.260752,0.0244004
2.055,149.141,7,0.512518,0.782023,0.0732168,0.260708,0.0244216,0.260639,0.0243963,0.260675,0.0243989
2.0687,150.135,7,0.512317,0.781794,0.0731881,0.260619,0.0244082,0.260577,0.0243905,0.260598,0.0243893
2.0824,151.129,7,0.512407,0.781677,0.073201,0.260582,0.0244146,0.26052,0.0243908,0.260575,0.0243956
2.0961,152.124,7,0.512516,0.781556,0.0732165,0.260552,0.0244213,0.260466,0.0243965,0.260537,0.0243987
2.1098,153.118,7,0.512495,0.78141,0.0732135,0.260509,0.0244195,0.260441,0.0244019,0.26046,0.0243921
